"รหัสสินค้า","ชื่อสินค้า","กลุ่ม","หมวดสินค้า","ต้นทุน ต้นทุนเฉลี่ย x จำนวนการขาย","กำไรเฉลี่ย กำไร / จำนวนการขาย","จำนวนการขาย","ยอดก่อนลด","ส่วนลดสินค้า","กำไร ยอดรวม - ต้นทุน - ส่วนลด","00:00","01:00","02:00","03:00","04:00","05:00","06:00","07:00","08:00","09:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00","21:00","22:00","23:00","สาขา"
"","ชาเขียวนม ซื้อ 1 แถม 1! [เฉพาะที่ LINE MAN] [ดีลเดือด]","","","0","110.36","77","8,498","0","8,498","0","0","0","0","0","0","0","1","6","14","12","6","12","16","10","1","0","0","0","0","0","0","0","0","แพร่"
"","BUTTER BERRY CAKE","","ขนม","0","76.25","24","1,830","0","1,830","0","0","0","0","0","0","0","0","3","0","0","5","7","4","2","1","2","0","0","0","0","0","0","0","แพร่"
"","PEACH SODA","","SOFT DRINKหน้าร้าน","0","60","1","60","0","60","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","แพร่"
"","YUSU SODA","","SOFT DRINKหน้าร้าน","0","60","3","180","0","180","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","แพร่"
"","น้ำส้ม","","SOFT DRINKหน้าร้าน","0","50","2","100","0","100","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","แพร่"
"","มะนาวโซดา","","SOFT DRINKหน้าร้าน","0","50","1","50","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","แพร่"
"","strawberry cheese tart","","ขนม","0","60","14","840","0","840","0","0","0","0","0","0","0","0","0","1","0","13","0","0","0","0","0","0","0","0","0","0","0","0","แพร่"
"","milk caramel","","MILK หน้าร้าน","0","60","16","960","0","960","0","0","0","0","0","0","0","0","0","0","0","4","2","1","5","1","3","0","0","0","0","0","0","0","แพร่"
"","Matcha orange","","SOFT DRINKหน้าร้าน","0","85","1","85","0","85","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","แพร่"
"","PEACH AMERICANO MEDIUM","","กาแฟหน้าร้าน","0","80","11","880","0","880","0","0","0","0","0","0","0","0","0","0","0","2","7","2","0","0","0","0","0","0","0","0","0","0","แพร่"
"","Red velvet cheese","","ขนม","0","95.88","34","3,260","0","3,260","0","0","0","0","0","0","0","0","2","2","2","3","8","4","4","5","3","1","0","0","0","0","0","0","แพร่"
"","ขนมชั้น แบบดอก","","ของกินเล่น","0","172.31","13","2,240","0","2,240","0","0","0","0","0","0","0","0","0","0","0","12","0","1","0","0","0","0","0","0","0","0","0","0","แพร่"
"","คุ้้กกี้ BOXSET ไซส์ S (มี 10 ชิ้น ค่ะ)","","Cookie","0","125.39","38","4,765","0","4,765","0","0","0","0","0","0","0","0","0","3","4","3","5","0","0","20","6","0","0","0","0","0","0","0","แพร่"
"","คุกกี้ loyal icing คละลาย แบบชิ้น","","Cookie","0","25","9","225","0","225","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","3","0","0","0","0","0","0","0","0","แพร่"
"","Soft cookie chocolate","","Cookie","0","42.34","32","1,355","0","1,355","0","0","0","0","0","0","0","0","4","1","4","3","3","4","9","2","2","0","0","0","0","0","0","0","แพร่"
"","โมจิคัสตาร์ดสตรอเบอรี่ 1กล่องมี2ลูก","","ขนม","0","82.93","87","7,215","0","7,215","0","0","0","0","0","0","0","1","4","5","7","8","19","17","14","7","4","1","0","0","0","0","0","0","แพร่"
"","caramel pudding","","ขนม","0","75.38","78","5,880","0","5,880","0","0","0","0","0","0","0","0","1","10","1","14","25","12","7","4","4","0","0","0","0","0","0","0","แพร่"
"","YUSU AMERICANO MEDIUM","","กาแฟหน้าร้าน","0","90","17","1,530","0","1,530","0","0","0","0","0","0","0","0","1","1","0","0","5","4","3","2","0","1","0","0","0","0","0","0","แพร่"
"","HONEY LEMON AMERICANO","","กาแฟหน้าร้าน","0","74.55","11","820","0","820","0","0","0","0","0","0","0","0","0","1","1","1","4","2","1","0","1","0","0","0","0","0","0","0","แพร่"
"","Basque Burnt chesscake","","ขนม","0","96.07","42","4,035","0","4,035","0","0","0","0","0","0","0","0","2","1","1","6","5","12","6","3","6","0","0","0","0","0","0","0","แพร่"
"","ITTALIAN SODA","","SOFT DRINKหน้าร้าน","0","51.15","13","665","0","665","0","0","0","0","0","0","0","0","0","0","0","0","4","6","1","2","0","0","0","0","0","0","0","0","แพร่"
"","LEMON GREEN TEA","","SOFT DRINKหน้าร้าน","0","55","21","1,155","0","1,155","0","0","0","0","0","0","0","0","0","1","1","5","4","5","4","1","0","0","0","0","0","0","0","0","แพร่"
"","HONEY LEMON GREEN TEA","","SOFT DRINKหน้าร้าน","0","60","10","600","0","600","0","0","0","0","0","0","0","0","1","0","1","2","4","1","1","0","0","0","0","0","0","0","0","0","แพร่"
"","HONEY LEMON THAITEA","","SOFT DRINKหน้าร้าน","0","60","2","120","0","120","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","แพร่"
"","LYCHEE HONEY LEMON TEA","","SOFT DRINKหน้าร้าน","0","60","2","120","0","120","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","แพร่"
"Total","","0.00","","0.00","1,857.61","559.00","47,468.00","0.00","47,468.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","24.00","40.00","39.00","88.00","117.00","96.00","68.00","53.00","32.00","4.00","0.00","0.00","0.00","0.00","0.00","0.00",""